row754,Vu_ACI,Vu_EC2,u_ratio
1,200.3619125482685,159.42692977355463,1.0
2,160.230207826115,125.73354309213727,0.7970499999999999
3,173.25000000000003,135.4660218748962,0.8564499999999999
4,182.78333296556337,144.13093988436046,0.91245
11,243.4930836110135,319.4484977302216,1.0
12,243.4930836110135,321.40835349194873,1.0
13,243.4930836110135,316.7973506188359,1.0
14,238.16695291160778,312.1606248698078,1.0
15,215.49713557326575,252.45447616848665,0.83585
16,215.49713557326575,256.33899953278143,0.83585
17,215.49713557326575,251.13270076598113,0.83585
18,159.3401262461056,180.51886252173844,0.6717000000000001
19,159.3401262461056,177.29461967347282,0.6717000000000001
20,159.3401262461056,179.45696229111917,0.6717000000000001
21,172.80408141174198,192.20683068369732,0.6717000000000001
22,154.33744548984762,169.9115870345186,0.5813999999999999
23,161.7336699639256,200.86919157600352,1.0
24,111.19189810019884,141.26125897582446,0.70325
25,101.08354372745347,129.44010705157663,0.6444
26,96.02127985758263,122.61055453799256,0.6104
27,127.07414449065634,155.73388422887552,0.7753
28,139.67319738084615,169.53359769014693,0.844
29,145.560302967533,177.28714848498072,0.8826
30,129.35458923714768,157.94344533621157,0.7863
31,122.1089208227638,151.3147620142034,0.7533
32,116.52910920900838,146.50394487595815,0.7293499999999999
33,180.7339835227454,148.83718613163342,1.0
34,119.82825949455096,101.51010470270668,0.68455
35,146.91684223141334,122.52475143938887,0.82295
36,105.27047586099344,89.9392360517537,0.61635
37,138.83361358550192,116.5012865402104,0.79865
38,160.56514666739298,130.83548527113206,0.8907499999999999
39,160.14728015561178,134.24988038100517,0.89615
40,149.6030416660755,121.26051000040495,0.82515
41,150.7005448065206,127.04640947430154,0.86195
42,106.85133795325167,120.73132646417956,1.0
43,104.63036432699643,119.05249118965028,1.0
44,100.04060462032405,115.54492305184345,1.0
45,94.27661414369949,111.06297784905728,1.0
46,80.13850346493875,90.54849484813467,0.75
47,78.47277324524731,89.28936839223769,0.75
48,75.03045346524304,86.65869228888258,0.75
49,70.7074606077746,83.29723338679294,0.75
50,71.23778701343288,82.73114145957905,0.68525
51,69.75706389680852,81.58071958770786,0.68525
52,66.69707110037005,79.17715852127571,0.68525
53,62.854218649604455,76.1059055710665,0.68525
54,310.1643298640255,400.5559288172883,1.0
55,232.6232473980191,300.41694661296617,0.75
56,206.7865587203458,274.38081123984244,0.6849999999999999
57,193.8527061650159,258.0781849369788,0.6443
58,258.45993607569244,339.83165000858736,0.8484
59,252.0085180145207,330.0380575490047,0.82395
60,248.1314638912204,324.1298575989497,0.8091999999999999
62,82.83596897428363,68.91624855441724,0.43455000000000005
63,124.73607136670613,102.70499147977758,0.6459
64,82.67144851600365,68.82496864818113,0.43455000000000005
65,69.3,57.946146434547515,0.36635
66,115.28194211038883,94.34972918289057,0.5972999999999999
67,69.98956922284921,58.32990693251131,0.36635
68,63.50979807041306,52.656089441012185,0.33335
69,111.58760791414987,90.73714080898162,0.5729
70,63.89124172866513,52.866716040996394,0.33335
71,136.87324355037399,158.01064127972882,1.0
72,124.77364882052093,141.5301313942531,0.8956999999999999
73,117.12243450605503,132.11269717398125,0.8361000000000001
74,112.6740540906679,125.0496215087774,0.7914
75,105.41977218249805,127.8938130518125,0.8093999999999999
76,112.6740540906679,125.0496215087774,0.7914
77,112.6740540906679,125.0496215087774,0.7914
78,592.6107915048459,707.1354919533511,1.0
79,554.3873954527835,653.3578377902986,0.92395
80,516.1639994007209,599.5801836272465,0.8479
81,477.94060334865827,545.802529464194,0.77185
86,664.6664120438161,557.0719025475511,1.0
87,491.52892644706884,407.08866199015426,0.7874
88,543.5585954668733,480.5177125060038,0.7874
89,540.7993969596638,365.46162603238236,0.7874
90,593.4331628377776,574.2761449504247,0.8877
91,505.7790926537316,487.762126259451,0.7754
92,609.5412438207607,501.872750558244,0.8332
93,472.5939705275979,390.6063463176502,0.6664
94,238.16695291160778,312.1606248698078,1.0
95,192.03489114220886,226.02005667791943,0.75
96,227.69851970693045,264.07948533069185,0.8674000000000001
97,236.9691063537331,274.80671257220604,0.9125500000000001
98,229.16166098079407,289.6299688494472,0.9353
99,836.1189198134916,1183.432820958386,1.0
100,754.5855087110009,1105.190685976064,1.0
101,357.7972355981643,524.9016748378268,0.43574999999999997
102,311.9792143052465,479.07526072818166,0.43574999999999997
103,557.3191823725433,775.6032667432133,0.709
104,584.9311637624465,801.0140654839715,0.709
105,619.3243763766174,884.4793237713579,0.8192
106,618.329477137652,883.53183582193,0.8192
107,216.50034816368128,296.8950213697178,1.0
108,160.43174512467914,220.19879191950037,0.75
109,136.9410452466955,193.74322198081865,0.6454
110,127.804338707836,180.05451587247444,0.5997999999999999
111,121.78144584207071,170.84824004720417,0.57545
112,459.0759797709551,459.6332086400645,1.0
113,412.56162010714866,407.1746544229771,0.9047499999999999
114,371.32998996910277,361.0086174531448,0.8096
115,371.2854339347892,363.9293269940515,0.81615
116,303.0070753695623,287.16691527963934,0.6323
117,615.2380146964847,584.2149806252484,1.0
118,621.1195346771887,564.9149919274173,0.94445
119,589.7222070248876,523.5121179196952,0.889
120,596.5703554219904,527.6096373719234,0.88895
121,530.2847603751027,461.6992372030139,0.7779
122,339.81518672337177,458.3535971980779,1.0
123,205.97705244805184,283.36285268528593,0.6443
124,264.69940724951846,356.1279227790394,0.8091999999999999
125,219.97513596526656,298.36384516552454,0.6443
126,712.9405368686644,744.130226907218,1.0
127,628.8325438313276,606.1369045720843,0.81745
128,649.7268415283976,638.4735305888655,0.869
129,634.4391447566602,613.3638616238887,0.81745
130,684.7423650131327,644.1034082733287,0.81745
131,685.2195928780192,637.9838636624763,0.81745
132,684.0940982385017,718.2309067458334,1.0
133,600.4680566918126,579.4400330152868,0.81745
134,618.7369846986433,623.0828033831195,0.869
135,639.4856562876187,605.5328760264581,0.81745
136,750.6551380909196,761.0321299380524,1.0
137,658.5413679941236,625.0807070699492,0.81745
138,623.262923625777,602.552531575856,0.81745
139,973.585750277511,1090.0174209122413,1.0
140,885.7462740900181,937.2625507151727,0.8921
141,863.0128264232148,919.3137330926303,0.8921
142,78.85826272496752,58.72442764817412,1.0
143,66.9980662346501,48.55691733516083,0.8162499999999999
144,57.83667780915498,43.39203013838037,0.75
145,50.42429416338803,39.05028821597515,0.6837500000000001
146,66.24438778811283,49.88950223121368,0.845
147,69.43667365277804,50.49764097409043,0.8534999999999999
148,592.1631850258847,467.38540268671176,1.0
149,379.4342095146404,315.61595713632477,0.75
150,56.925354677155944,65.52003168117649,1.0
151,49.26320193761076,55.12200265337379,0.8413
152,50.7432611592168,57.14001962915403,0.8721
153,41.60104919806557,45.33986192337414,0.692
154,54.23847793639418,61.87056591653497,0.9442999999999999
155,54.45479428416738,62.17195806226839,0.9489
156,51.540216124697,58.21454814872532,0.8885
157,69.07111871571215,74.53631686170891,1.0
158,50.47717355744244,50.87848988980251,0.6826
159,54.06887173065946,55.469927008483786,0.7442000000000001
160,31.883228399172726,28.621945674896224,0.384
161,62.550805108948914,66.23297116331455,0.8886000000000001
162,63.07574561118833,66.91870527844227,0.8978
163,56.00286305469941,57.914718201547835,0.777
164,729.1287454314225,737.6013894597111,1.0
165,713.8936060730618,727.2904876789112,1.0
166,604.1470484786316,623.6032630405336,0.84865
167,543.7540937945204,551.1134711369825,0.7499999999999999
168,639.9304659791288,637.7104482171717,0.87455
169,493.3659108373268,510.34672919996626,0.6851
170,631.1109744514725,642.0227661044188,0.84865
171,563.0529258570637,564.0775474914959,0.7499999999999999
172,685.6101414580936,667.7078724685606,0.87455
173,491.5620074999629,509.10197613736375,0.6851
174,180.7339835227454,158.50034705562666,1.0
175,119.82825949455096,108.10058455957608,0.68455
176,146.91684223141334,130.47959405032051,0.82295
177,105.27047586099344,95.77848452142355,0.61635
178,138.83361358550192,124.06505947189329,0.79865
179,160.56514666739298,139.3298970616475,0.8907499999999999
180,160.14728015561178,142.96596963171947,0.89615
181,149.6030416660755,129.1332725291394,0.82515
182,150.7005448065206,135.2948178961051,0.86195
183,24.82909385942226,28.54154806839149,1.0
184,17.9181043284439,20.86341547887095,0.75
185,21.659006863865194,24.8835285386039,0.8986000000000001
186,22.94654195423696,26.420369625069227,0.9441
187,23.817996855414847,28.39330883208669,1.0
188,17.83684266553361,20.80028826855545,0.75
189,21.905981857352792,25.0723333942027,0.8986000000000001
190,23.60013384731334,26.919709491506584,0.9441
191,23.409073813049975,28.067388403814338,1.0
192,1393.7779588538772,1360.865743131309,1.0
193,1295.7109177607654,1171.4332316874309,0.8607999999999999
194,1295.7109177607654,1171.4332316874309,0.8607999999999999
195,1295.7109177607654,1171.4332316874309,0.8607999999999999
196,1295.7109177607654,1171.4332316874309,0.8607999999999999
197,1295.7109177607654,1171.4332316874309,0.8607999999999999
198,189.12721204522634,205.0715664257822,1.0
199,144.9849207538705,149.57920055096554,0.7293999999999999
200,94.56360602261317,102.5357832128911,0.5
201,169.07972756843233,179.43762062255942,0.875
202,146.1575094685509,150.91216573273311,0.7358999999999999
203,176.1530852989238,188.48127670193645,0.9191
204,161.32551187457804,169.53266396419414,0.8267
205,179.5195496733288,192.82879391016303,0.9402999999999999
206,168.58799681711474,178.8018987666395,0.8718999999999999
207,181.5242981210082,195.3511741772001,0.9526
208,172.8244463669278,184.23629527692273,0.8984
209,182.81036316291573,197.01225386524897,0.9607
210,175.62352910519718,187.8250476893739,0.9159
211,133.97959359544274,117.95504720894341,0.75
212,148.86026045744327,133.2498849970364,0.84725
213,111.64966132953562,101.21329417508737,0.6435500000000001
214,142.9115665018056,127.13194988179922,0.80835
215,104.20039592562901,93.93153592738861,0.5972500000000001
216,140.35702225058583,124.50548416394672,0.79165
217,160.77551231453128,138.97463662157713,0.88365
218,156.64894083179163,140.84619003729233,0.89555
219,151.84353940816845,130.71778331695106,0.8311499999999999
220,152.1650904327975,136.56835365851467,0.86835
221,142.9115665018056,123.73484452218163,0.7867500000000001
222,149.1639475362596,133.54870444996573,0.84915
223,133.97959359544274,117.95504720894341,0.75
224,147.0202740387325,131.34687690206545,0.83515
225,126.53032819153613,113.22898165077174,0.7199500000000001
226,145.39465496977448,129.67977890151238,0.8245499999999999
227,167.47449199430343,145.80030202006796,0.92705
228,161.20424701403672,144.8723889820243,0.92115
229,156.3095258613499,134.69680024279944,0.8564499999999999
230,153.5584782061901,137.92090486651057,0.87695
231,145.1445597283963,125.35476050385111,0.7970499999999999
232,149.27113121113595,133.65879582736073,0.84985
233,76.08676351315229,126.37458770522616,1.0
234,283.6827285189066,322.507252708739,1.0
235,1778.5703524179191,2147.087687257353,1.0
236,327.06232961447836,353.6492758410652,1.0
237,144.18159967385844,198.52065710854203,1.0
238,54.421175514450546,68.41686400105318,1.0
239,148.8612584899064,173.57502215030178,1.0
240,201.20683026715196,256.91470626127466,1.0
241,323.9339162518111,397.1733858279232,1.0
242,383.7005786960422,460.1574366070965,1.0
243,81.40603504729927,112.92714978744884,1.0
244,282.5920195967876,290.54491546222766,1.0
245,142.81187415636154,170.23764573765945,1.0
246,228.92842719667885,273.8076271856855,1.0
247,2814.127358142339,2347.595865445065,1.0
248,317.54456917763406,303.33007641453105,1.0
249,175.86264793887756,241.980863419585,1.0
250,416.119556572948,511.2635128374206,1.0
251,295.48847528002244,292.64848740946996,1.0
252,45.61951749556183,60.768066341868874,1.0
253,451.629219572595,506.3916731437825,1.0
254,183.5334463279759,214.07384773866306,1.0
255,194.22497060900017,222.61614592786333,1.0
256,225.44130427424076,289.05185583019875,1.0
257,172.05018524013772,223.65455003486645,1.0
258,254.22265225431667,299.77383162900503,1.0
259,1347.628115046687,1784.4968716611138,1.0
260,109.97993929653008,142.77565387790503,1.0
261,60.96723023484167,70.90137173703032,1.0
262,466.75882118659933,593.6316777601394,1.0
263,417.4897111531002,295.57488683533245,1.0
264,55.483740123717624,69.3045429871995,1.0
265,210.770098979387,250.36342010590505,1.0
266,498.8643935367014,624.551684773654,1.0
267,873.0699930704296,1262.2476884650887,1.0
268,143.7949966084328,163.25180771353206,1.0
269,139.72128705817076,212.99427576590188,1.0
270,223.93083140128024,262.99985896900523,1.0
271,102.64930651468185,133.70112256986334,1.0
