series,adj,meas,ec2,CatBoost,CatBoost_ec2
0,False,0.7424407297351494,0.7970499999999999,0.8363913636795306,0.8039563625679726
0,False,0.7899811005818499,0.8564499999999999,0.9115674490872333,0.8324259626230259
0,False,0.923320408407428,0.91245,0.9634431331645947,0.8699761119383502
0,True,0.6104347219951678,0.68455,1.0412540781519142,0.7710556718928817
0,True,0.7727053111701024,0.82295,1.067876708240573,0.8834602220577338
0,True,0.48220605925044546,0.61635,0.8238078413258817,0.6418782418397468
0,True,0.5934065068760516,0.79865,0.8240878100275795,0.7842971191912217
0,False,0.8387495188568791,0.8907499999999999,0.9380191579562281,0.9187247969459321
0,False,1.0503895182069674,0.89615,0.9914133172630715,0.9294169397914606
0,False,0.7185960694974547,0.82515,0.7516012419454121,0.7928915338230108
0,False,0.8609532156613559,0.86195,0.7817001394530123,0.8308551524937312
0,True,0.6363603118770347,0.43455,1.0103522680940473,0.6060667874476037
0,True,0.9117606593061494,0.6459,1.0076934340443633,0.7201850814409417
0,True,0.41235618755234166,0.43455,1.0139644418411684,0.5885723172717481
0,True,0.5065818820556326,0.36635,0.8510233148039179,0.44678257119461967
0,True,0.7117599036983809,0.5972999999999999,0.8275742931114572,0.6320055553277487
0,True,0.3233859997120041,0.36635,0.8431640760393504,0.45939100263219024
0,True,0.42578287572460866,0.33335,0.8275742931114572,0.3975133140184061
0,True,0.5923039262210892,0.5729,0.8498916335290032,0.6383619687836547
0,True,0.24869982300058008,0.33335,0.8464967750141065,0.41862112472256024
0,True,0.4229370231210995,0.84865,0.7924286821292322,0.7393608747382946
0,True,0.3731797262833231,0.7499999999999999,0.7924286821292322,0.7054694042028501
0,False,0.45127384456217134,0.87455,0.7654230933085073,0.743129861378264
0,True,0.31903514691113904,0.6851,0.7185209118364764,0.6223955898317478
0,True,0.5557923558512464,0.84865,0.7826874597587571,0.7380097234546694
0,True,0.4982907866839074,0.7499999999999999,0.7796696646595064,0.7051017650439944
0,False,0.5746665721152957,0.87455,0.7701282740609232,0.7607481322223273
0,True,0.44282102822317193,0.6851,0.7181412910812196,0.6223955898317477
0,True,0.5730451978894355,0.68455,0.8590911700959266,0.783831648568685
0,True,0.7264035339728038,0.82295,0.8845669757034558,0.8980986815133277
0,True,0.4529254401005791,0.61635,0.6581905368455344,0.6517474445476951
0,True,0.5589940223647515,0.79865,0.658414220987426,0.796770082135974
0,False,0.7888997779228942,0.8907499999999999,0.9135986225678946,0.9345188221166196
0,False,0.9854918396524193,0.89615,0.9630977696141423,0.9453947762338067
0,False,0.6716903945094442,0.82515,0.7437051369959212,0.8059938631322324
0,False,0.8094541655801831,0.86195,0.7718561994963995,0.8445848208681023
0,True,0.7439285992016396,0.75,0.902981071971931,0.8664322444048005
0,True,0.6509375243014346,0.84725,0.902981071971931,0.9336135895172224
0,True,0.4533314901384991,0.6435500000000001,0.6942745996068431,0.6501005125752282
0,True,0.5695703337637552,0.80835,0.6942745996068431,0.8068179355171345
0,True,0.30803293560692885,0.5972500000000001,0.6942745996068431,0.6829888636031072
0,True,0.819483847558056,0.79165,0.6942745996068431,0.7897865592223676
0,False,0.8543555006456329,0.88365,0.9394167066960084,0.9353181361083835
0,False,0.6916211195702743,0.89555,0.9394167066960084,0.947276517683559
0,False,0.8311077319205816,0.8311499999999999,0.8576352226531458,0.8677271978510139
0,False,0.9647824020896262,0.86835,0.8576352226531458,0.9102986706443145
0,False,0.9240988068207866,0.7867500000000001,0.6899849939200714,0.7507363410972435
0,False,0.8252957897393188,0.84915,0.6899849939200714,0.8243061561555721
0,False,0.5753822759450181,0.75,0.6899849939200714,0.7463321127791809
0,False,0.6218778133951205,0.83515,0.6899849939200714,0.8153420541258107
0,False,0.5811942181262809,0.7199500000000001,0.6899849939200714,0.7192637215345775
0,False,0.9182868646395238,0.8245499999999999,0.6899849939200714,0.8035347237397202
0,False,1.1158928988024592,0.92705,1.0039029132696864,0.9873330475451547
0,False,1.0229018239022543,0.92115,1.0039029132696864,0.9817075820067082
0,False,0.8834152115519469,0.8564499999999999,0.7703360454887118,0.8336780963391472
0,False,1.1565764940712988,0.87695,0.7703360454887118,0.8528615887230023
0,False,0.819483847558056,0.7970499999999999,0.7703360454887118,0.7769060573820087
0,False,1.0752093035336194,0.84985,0.7703360454887118,0.832381475682262
1,True,0.8152965929922465,0.83585,0.7863704783018877,0.7516019855151919
1,True,0.7644210510870426,0.83585,0.802730719245902,0.7404264551870825
1,True,1.0209895898875327,0.83585,0.7476488261230619,0.7463282746431474
1,True,0.9162692588467698,0.6717000000000001,0.736806253946383,0.6974303145032769
1,True,1.06372189493032,0.6717000000000001,0.722667201767758,0.696753302353235
1,True,0.9570651685611675,0.6717000000000001,0.7326218999510163,0.6974303145032773
1,True,0.9559645052368251,0.6717000000000001,0.7613934124970229,0.6864279005608704
1,True,0.8264324778201083,0.5813999999999999,0.8334161276989995,0.7023642403808007
1,True,0.9625960597404968,0.75,0.7395104796477486,0.7045481053060167
1,False,1.0778598220327886,0.8674000000000001,0.784787390586519,0.7895111091428123
