row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
414,49,previous_db,False,200.0,150.0,70.02,8.367795408588812,1.75,5.125,0,1000.0,,,,,1200.0,773.1842957536062,1113.3624673206216,1.0
415,27,previous_db,False,114.3,254.0,21.48,4.634652090502587,2.3,6.675415573053368,0,1000.0,,,,,364.0,257.536636251496,353.4137895387946,1.0
416,106,previous_db,False,114.0,203.0,36.38,6.031583540000089,1.1,5.118421052631579,0,1000.0,,,,,254.0,287.7195630784507,315.08295307246163,1.0
417,117,previous_db,False,95.0,117.81,21.75,4.663689526544408,0.83,6.421052631578948,0,1000.0,,,,,197.0,124.456962925247,149.3818798329232,1.0
418,111,previous_db,False,127.0,119.38,24.89,4.988987873306569,0.75,5.401574803149606,0,1000.0,,,,,199.0,206.06088055424468,251.47509463777632,1.0
419,143,previous_db,False,117.0,117.81,26.18,5.1166395221864125,0.85,6.666666666666667,0,1000.0,,,,,255.0,185.5501042110371,230.0151698995535,1.0
420,57,previous_db,False,127.0,279.6,24.89,4.988987873306569,0.75,4.598425196850394,0,1000.0,,,,,239.0,340.0615067511806,329.2032439021704,1.0
421,47,previous_db,False,98.0,117.81,40.88,6.393746945258313,1.27,6.23469387755102,0,1000.0,,,,,297.0,178.49539457522158,224.10397137002136,1.0
422,144,previous_db,False,124.0,235.62,23.1,4.806245936279167,1.1,5.685483870967742,0,1000.0,,,,,408.0,282.9081397388196,328.1877734295236,1.0
423,145,previous_db,False,102.0,117.81,31.57,5.618718715152059,1.03,5.990196078431373,0,1000.0,,,,,227.0,166.2872075030926,205.45858180243536,1.0
424,146,previous_db,False,101.0,94.25,23.93,4.8918299234540035,0.53,2.871287128712871,0,1000.0,,,,,180.0,127.33790394335183,139.58761921963247,1.0
425,147,previous_db,False,108.0,120.0,54.28,7.367496182557545,0.51,9.166666666666666,0,1000.0,,,,,322.0,239.47073831907204,216.0786244088696,1.0
426,148,previous_db,False,176.0,158.65,31.07,5.574047003748713,0.45,3.886363636363636,0,1000.0,,,,,537.0,433.359234060183,434.4544328432614,1.0
427,104,previous_db,False,40.5,100.0,27.82,5.274466797696237,1.16,6.666666666666667,0,1000.0,,,,,71.0,39.61720579818014,42.19200468728265,1.0
428,149,previous_db,False,122.0,235.62,23.02,4.797916214358063,1.09,5.778688524590164,0,1000.0,,,,,332.0,276.3173914810388,318.3093633831538,1.0
429,150,previous_db,False,197.0,196.35,22.65,4.759201613716317,0.35,5.401015228426396,0,1000.0,,,,,444.0,486.8031895145717,461.13520706832026,1.0
430,105,previous_db,False,100.0,150.0,34.95,5.911852501542981,0.56,7.7,0,1000.0,,,,,198.0,195.0911325509184,180.12524528046575,1.0
431,31,previous_db,False,119.0,203.0,15.2,3.8987177379235853,1.2,4.903361344537815,0,1000.0,,,,,292.0,197.19620749191785,260.2037820701101,1.0
432,31,previous_db,False,121.0,203.0,13.49,3.6728735344413916,1.9,4.822314049586777,0,1000.0,,,,,301.0,190.0685609383972,299.5737689499913,1.0
433,151,previous_db,False,108.0,240.0,51.52,7.177743377970544,0.51,9.166666666666666,0,1000.0,,,,,241.0,356.09416539529127,267.83405318283604,1.0
434,152,previous_db,False,473.0,300.0,13.05,3.6124783736376886,0.6,1.268498942917548,0,1000.0,,,,,1659.0,1449.892072247455,1993.152535381574,1.0
435,153,previous_db,False,100.0,100.0,34.37,5.862593282839941,0.56,7.95,0,1000.0,,,,,150.0,154.77246266697446,159.82782646507772,1.0
436,111,previous_db,False,95.0,150.0,70.3,8.384509526501834,1.2,7.105263157894737,0,1000.0,,,,,356.0,257.5972861827159,269.05862002590163,1.0
