row_in_workbook,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Vu_kN,subset,Vu_ACI318_kN,Vu_EC2_kN,Vu_ElShafiey_kN,Vu_Koroglu_kN
65,opening study,1,100.0,200.0,25.0,5.0,0.39,10.0,500,0.0,87.66,train,198.0,158.17,177.38,173.25
66,opening study,1,100.0,200.0,24.9,4.99,0.39,10.0,500,0.0,123.0,train,197.6,157.96,177.02,172.9
67,opening study,1,100.0,200.0,25.5,5.0498,0.39,10.0,500,0.0,56.33,test,199.97,159.22,179.14,174.97
68,opening study,1,100.0,200.0,24.9,4.99,0.39,10.0,700,0.0,73.58,train,197.6,157.96,168.79,163.02
69,opening study,1,100.0,200.0,25.1,5.01,0.39,10.0,700,0.0,102.63,train,198.4,158.38,169.46,163.68
70,opening study,1,100.0,200.0,25.2,5.02,0.39,10.0,700,0.0,43.15,test,198.79,158.59,169.8,164.0
71,opening study,0,80.0,120.0,42.0,6.4807,1.2,6.875,0,1000.0,83.3,train,136.87,158.01,,
72,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,100,40.0,76.1,test,119.76,147.37,132.6,131.74
73,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,150,15.0,54.4,test,111.21,142.05,130.46,129.17
74,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,100,40.0,72.5,train,119.76,147.37,132.6,131.74
75,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,100,40.0,81.3,train,119.76,147.37,132.6,131.74
76,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,100,40.0,72.8,test,119.76,147.37,132.6,131.74
77,opening study,1,80.0,120.0,42.0,6.4807,1.2,6.875,100,40.0,71.6,train,119.76,147.37,132.6,131.74
78,opening study,0,180.0,300.0,27.0,5.1962,1.16,5.5556,0,1000.0,590.2,train,592.61,707.14,,
79,opening study,1,180.0,300.0,27.0,5.1962,1.16,5.5556,150,75.0,550.2,test,546.31,676.5,581.04,578.72
80,opening study,1,180.0,300.0,27.0,5.1962,1.16,5.5556,150,75.0,517.3,train,546.31,676.5,581.04,578.72
81,opening study,1,180.0,300.0,27.0,5.1962,1.16,5.5556,150,75.0,452.9,train,546.31,676.5,581.04,578.72
86,opening study,0,130.0,500.0,37.8,6.1482,0.93,9.2308,0,1000.0,475.0,train,664.67,557.07,,
87,opening study,1,130.0,500.0,32.3,5.6833,0.87,9.2308,400,0.0,240.0,test,614.41,517.0,590.03,585.15
88,opening study,1,130.0,500.0,39.5,6.2849,1.17,9.2308,400,0.0,250.0,test,679.45,610.26,652.49,647.09
89,opening study,1,130.0,500.0,39.1,6.253,0.52,9.2308,400,0.0,237.0,test,676.0,464.14,649.17,643.81
90,opening study,1,130.0,500.0,37.2,6.0992,1.48,9.2308,200,0.0,455.0,test,659.37,646.93,646.29,643.67
91,opening study,1,130.0,500.0,34.2,5.8481,1.48,9.2308,200,0.0,375.0,train,632.22,629.05,619.68,617.17
92,opening study,1,130.0,500.0,44.0,6.6332,1.01,9.2308,300,0.0,474.0,test,717.11,602.34,695.76,691.5
93,opening study,1,130.0,500.0,39.0,6.245,1.05,9.2308,300,0.0,411.0,train,675.13,586.14,655.04,651.02
94,opening study,0,110.0,150.0,39.8,6.3087,1.58,8.1818,0,1000.0,247.0,train,238.17,312.16,,
95,opening study,1,110.0,150.0,46.0,6.7823,1.23,8.1818,150,0.0,221.0,test,256.05,301.36,246.81,244.97
96,opening study,1,110.0,150.0,46.3,6.8044,1.26,8.1818,150,90.0,250.0,train,227.69,281.41,247.62,245.77
97,opening study,1,110.0,150.0,45.9,6.775,1.23,8.1818,150,180.0,231.0,test,236.96,278.35,246.55,244.7
98,opening study,1,110.0,150.0,41.2,6.4187,1.49,8.1818,150,270.0,273.0,train,229.15,289.63,233.58,231.83
99,opening study,0,230.0,200.0,41.02,6.4047,1.57,5.4348,0,1000.0,1051.0,train,836.12,1183.43,,
100,opening study,0,230.0,200.0,33.41,5.7801,1.57,5.4348,0,1000.0,950.0,train,754.59,1105.19,,
101,opening study,1,230.0,200.0,43.26,6.5772,1.57,5.4348,300,0.0,831.0,test,858.64,1204.59,821.2,813.72
102,opening study,1,230.0,200.0,32.89,5.735,1.57,5.4348,300,0.0,751.0,train,748.69,1099.43,716.04,709.51
103,opening study,1,230.0,200.0,32.4,5.6921,1.57,5.4348,300,200.0,777.0,train,650.21,1005.01,710.69,704.21
104,opening study,1,230.0,200.0,35.69,5.9741,1.57,5.4348,300,200.0,801.0,train,682.42,1037.93,745.9,739.1
105,opening study,1,230.0,200.0,31.15,5.5812,1.57,5.4348,300,400.0,751.0,train,673.97,991.91,696.85,690.49
106,opening study,1,230.0,200.0,31.05,5.5723,1.57,5.4348,300,400.0,739.0,train,672.89,990.85,695.73,689.38
107,opening study,0,126.0,120.0,28.0,5.2915,1.14,9.127,0,1000.0,362.0,train,216.5,296.9,,
108,opening study,1,125.0,120.0,28.0,5.2915,1.15,9.2,120,0.0,276.0,test,213.91,293.6,207.36,206.05
109,opening study,1,127.0,120.0,28.0,5.2915,1.13,9.0551,240,0.0,274.0,train,219.11,300.19,205.8,203.14
110,opening study,1,127.0,120.0,28.0,5.2915,1.13,9.0551,360,0.0,310.0,train,219.11,300.19,199.15,195.15
111,opening study,1,126.0,120.0,28.0,5.2915,1.14,9.127,480,0.0,270.0,train,216.5,296.9,190.1,184.82
112,opening study,0,128.0,360.0,31.0,5.5678,1.13,8.9844,0,1000.0,453.0,test,459.08,459.63,,
113,opening study,1,126.0,360.0,31.0,5.5678,1.14,9.127,120,0.0,427.0,train,450.05,450.04,443.11,441.72
114,opening study,1,125.0,360.0,31.0,5.5678,1.15,9.2,120,0.0,365.0,train,445.56,445.91,438.67,437.29
115,opening study,1,125.0,360.0,31.0,5.5678,1.15,9.2,240,0.0,422.0,train,445.56,445.91,431.78,429.02
116,opening study,1,127.0,360.0,31.0,5.5678,1.13,9.0551,240,0.0,427.0,train,454.56,454.16,440.56,437.76
117,opening study,0,128.0,600.0,28.0,5.2915,1.13,8.9844,0,1000.0,532.0,train,650.87,584.21,,
118,opening study,1,131.0,600.0,28.0,5.2915,1.1,8.7786,120,0.0,528.0,train,668.87,598.14,662.01,660.63
119,opening study,1,129.0,600.0,28.0,5.2915,1.12,8.9147,120,0.0,534.0,train,656.86,588.88,650.1,648.75
120,opening study,1,130.0,600.0,28.0,5.2915,1.11,8.8462,240,0.0,460.0,test,662.86,593.52,649.24,646.51
121,opening study,1,130.0,600.0,28.0,5.2915,1.11,8.8462,240,0.0,480.0,train,662.86,593.52,649.24,646.51
122,opening study,0,130.0,200.0,36.01,6.0008,1.81,8.4615,0,1000.0,423.0,train,339.82,458.35,,
123,opening study,1,130.0,200.0,33.87,5.8198,1.7,8.4615,400,0.0,394.0,train,329.56,439.8,304.6,299.6
124,opening study,1,130.0,200.0,34.14,5.8429,1.69,8.4615,400,0.0,373.0,train,330.87,440.1,305.81,300.79
125,opening study,1,130.0,200.0,38.63,6.2153,1.74,8.4615,400,0.0,207.0,train,351.96,463.08,325.3,319.96
126,opening study,0,130.0,600.0,35.82,5.985,1.71,8.4615,0,1000.0,568.0,train,749.73,744.13,,
127,opening study,1,130.0,600.0,36.29,6.0241,1.67,8.4615,400,0.0,443.0,train,754.63,741.5,728.79,723.62
128,opening study,1,130.0,600.0,36.62,6.0514,1.61,8.4615,400,0.0,467.0,train,758.05,734.72,732.09,726.9
129,opening study,1,130.0,600.0,36.94,6.0778,1.7,8.4615,400,0.0,484.0,test,761.36,750.34,735.28,730.07
130,opening study,1,130.0,600.0,43.03,6.5597,1.69,8.4615,400,0.0,340.0,train,821.72,787.94,793.58,787.95
131,opening study,1,130.0,600.0,43.09,6.5643,1.64,8.4615,400,0.0,512.0,test,822.3,780.46,794.14,788.5
132,opening study,0,130.0,600.0,32.98,5.7428,1.67,8.4615,0,1000.0,508.0,train,719.39,718.23,,
133,opening study,1,130.0,600.0,33.09,5.7524,1.6,8.4615,400,0.0,428.0,train,720.59,708.84,695.91,690.98
134,opening study,1,130.0,600.0,33.21,5.7628,1.65,8.4615,400,0.0,383.0,train,721.9,717.01,697.17,692.23
135,opening study,1,130.0,600.0,37.53,6.1262,1.61,8.4615,400,0.0,420.0,train,767.41,740.76,741.13,735.88
136,opening study,0,130.0,600.0,39.71,6.3016,1.65,8.4615,0,1000.0,455.0,train,789.39,761.03,,
137,opening study,1,130.0,600.0,39.8,6.3087,1.67,8.4615,400,0.0,511.0,train,790.28,764.67,763.22,757.8
138,opening study,1,130.0,600.0,35.65,5.9708,1.67,8.4615,400,0.0,488.0,train,747.95,737.11,722.33,717.21
139,opening study,0,130.0,1000.0,40.15,6.3364,1.76,10.3846,0,1000.0,649.0,train,1228.68,1090.02,,
140,opening study,1,130.0,1000.0,37.89,6.1555,1.67,10.3846,400,0.0,529.0,train,1193.6,1050.62,1167.19,1161.91
141,opening study,1,130.0,1000.0,35.97,5.9975,1.66,10.3846,400,0.0,612.0,train,1162.96,1030.51,1137.23,1132.09
142,opening study,0,50.0,150.0,35.69,5.9741,0.525,10.0,0,1000.0,101.65,test,78.86,58.72,,
143,opening study,1,50.0,150.0,37.1,6.091,0.525,10.0,100,0.0,90.76,train,80.4,59.49,77.89,77.39
144,opening study,1,50.0,150.0,34.13,5.8421,0.525,10.0,150,0.0,79.87,test,77.12,57.86,73.5,72.78
145,opening study,1,50.0,150.0,32.83,5.7297,0.525,10.0,225,0.0,68.98,train,75.63,57.11,70.31,69.25
146,opening study,1,50.0,150.0,36.27,6.0225,0.525,10.0,150,0.0,90.76,train,79.5,59.04,75.77,75.02
147,opening study,1,50.0,150.0,36.5,6.0415,0.525,10.0,150,70.0,88.94,train,69.44,51.94,76.01,75.26
148,opening study,0,150.0,300.0,44.17,6.6461,0.5,5.0,0,1000.0,495.0,train,592.16,467.39,,
149,opening study,1,150.0,300.0,32.24,5.678,0.5,5.0,300,0.0,373.8,train,505.91,420.82,484.83,480.62
150,opening study,0,60.0,100.0,20.18,4.4922,0.9,8.3333,0,1000.0,57.73,train,56.93,65.52,,
151,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,70,80.0,49.09,train,53.09,61.55,55.37,55.06
152,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,70,80.0,51.1,train,53.09,61.55,55.37,55.06
153,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,140,80.0,44.71,train,49.26,57.57,53.81,53.19
154,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,70,320.0,57.04,train,55.58,63.69,55.37,55.06
155,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,70,320.0,56.92,train,55.58,63.69,55.37,55.06
156,opening study,1,60.0,100.0,20.18,4.4922,0.9,8.3333,140,320.0,55.5,train,54.23,61.87,53.81,53.19
157,opening study,0,60.0,100.0,29.71,5.4507,0.9,8.3333,0,1000.0,70.15,train,69.07,74.54,,
158,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,70,80.0,45.84,train,64.42,70.01,67.18,66.8
159,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,70,80.0,49.06,test,64.42,70.01,67.18,66.8
160,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,140,80.0,38.89,train,59.77,65.49,65.29,64.54
161,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,70,320.0,67.61,train,67.44,72.46,67.18,66.8
162,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,70,320.0,66.34,train,67.44,72.46,67.18,66.8
163,opening study,1,60.0,100.0,29.71,5.4507,0.9,8.3333,140,320.0,63.85,train,65.8,70.38,65.29,64.54
164,opening study,0,210.0,300.0,26.6,5.1575,0.64,4.7619,0,1000.0,760.0,train,729.13,737.6,,
165,opening study,0,210.0,300.0,25.5,5.0498,0.64,4.7619,0,1000.0,480.0,train,713.89,727.29,,
166,opening study,1,210.0,300.0,26.3,5.1284,0.64,4.7619,300,0.0,340.0,test,725.01,734.82,698.35,693.02
167,opening study,1,210.0,300.0,26.3,5.1284,0.64,4.7619,300,0.0,300.0,train,725.01,734.82,698.35,693.02
168,opening study,1,210.0,300.0,25.7,5.0695,0.64,4.7619,300,200.0,360.0,train,639.9,672.2,690.34,685.07
169,opening study,1,210.0,300.0,27.4,5.2345,0.64,4.7619,450,0.0,260.0,test,740.01,744.92,699.2,691.04
170,opening study,1,210.0,300.0,28.7,5.3572,0.64,4.7619,300,0.0,460.0,train,757.36,756.52,729.52,723.95
171,opening study,1,210.0,300.0,28.2,5.3104,0.64,4.7619,300,0.0,410.0,train,750.74,752.1,723.14,717.62
172,opening study,1,210.0,300.0,29.5,5.4314,0.64,4.7619,300,200.0,480.0,train,685.58,703.82,739.62,733.97
173,opening study,1,210.0,300.0,27.2,5.2154,0.64,4.7619,450,0.0,360.0,train,737.31,743.11,696.65,688.51
174,opening study,0,100.0,200.0,20.83,4.564,0.471,10.0,0,1000.0,193.0,train,180.73,158.5,,
175,opening study,1,100.0,200.0,20.6,4.5387,0.471,10.0,300,0.0,99.0,test,179.73,157.91,168.5,166.25
176,opening study,1,100.0,200.0,20.85,4.5662,0.471,10.0,300,0.0,126.0,test,180.82,158.55,169.52,167.26
177,opening study,1,100.0,200.0,19.63,4.4306,0.471,10.0,500,0.0,77.0,train,175.45,155.4,157.17,153.52
178,opening study,1,100.0,200.0,19.61,4.4283,0.471,10.0,500,0.0,95.0,train,175.36,155.34,157.09,153.44
179,opening study,1,100.0,200.0,20.02,4.4744,0.471,10.0,300,300.0,135.0,train,160.57,139.31,166.11,163.9
180,opening study,1,100.0,200.0,21.24,4.6087,0.471,10.0,300,300.0,172.0,train,165.39,142.08,171.1,168.82
181,opening study,1,100.0,200.0,20.05,4.4777,0.471,10.0,500,300.0,115.0,train,149.61,127.96,158.85,155.15
182,opening study,1,100.0,200.0,20.23,4.4978,0.471,10.0,500,300.0,139.0,train,150.28,128.34,159.56,155.85
183,opening study,0,35.0,75.0,23.87,4.8857,1.2025,12.1429,0,1000.0,56.0,train,24.83,28.54,,
184,opening study,1,35.0,75.0,22.1,4.7011,1.2025,12.1429,75,0.0,29.0,train,23.89,27.82,22.87,22.67
185,opening study,1,35.0,75.0,21.8,4.669,1.2025,12.1429,75,70.0,33.0,test,21.66,24.88,22.72,22.51
186,opening study,1,35.0,75.0,22.5,4.7434,1.2025,12.1429,75,157.5,24.0,train,22.95,26.42,23.08,22.87
187,opening study,1,35.0,75.0,23.5,4.8477,1.2025,12.1429,75,245.0,47.0,train,23.82,27.3,23.59,23.38
188,opening study,1,35.0,75.0,21.9,4.6797,1.2025,12.1429,75,0.0,36.0,train,23.78,27.73,22.77,22.57
189,opening study,1,35.0,75.0,22.3,4.7223,1.2025,12.1429,75,70.0,41.0,train,21.91,25.07,22.98,22.77
190,opening study,1,35.0,75.0,23.8,4.8785,1.2025,12.1429,75,157.5,37.0,train,23.6,26.92,23.74,23.52
191,opening study,1,35.0,75.0,22.7,4.7645,1.2025,12.1429,75,245.0,56.0,train,23.41,26.98,23.18,22.97
192,opening study,0,180.0,950.0,33.0,5.7446,1.26,6.9444,0,1000.0,901.0,test,1542.35,1360.87,,
193,opening study,1,180.0,950.0,33.0,5.7446,1.26,6.9444,240,0.0,761.0,train,1542.35,1360.87,1521.87,1517.78
194,opening study,1,180.0,950.0,33.0,5.7446,1.26,6.9444,240,0.0,781.0,train,1542.35,1360.87,1521.87,1517.78
195,opening study,1,180.0,950.0,33.0,5.7446,1.26,6.9444,240,0.0,831.0,train,1542.35,1360.87,1521.87,1517.78
196,opening study,1,180.0,950.0,33.0,5.7446,1.26,6.9444,240,0.0,671.0,train,1542.35,1360.87,1521.87,1517.78
197,opening study,1,180.0,950.0,33.0,5.7446,1.26,6.9444,240,0.0,681.0,train,1542.35,1360.87,1521.87,1517.78
198,opening study,0,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,0,1000.0,234.0,train,189.13,205.07,,
199,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,0.0,182.0,train,189.13,205.07,185.68,184.99
200,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,0.0,145.0,train,189.13,205.07,181.74,180.26
201,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,90.0,198.0,train,179.1,196.78,185.68,184.99
202,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,90.0,180.0,train,167.64,187.3,181.74,180.26
203,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,180.0,213.0,test,182.64,196.78,185.68,184.99
204,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,180.0,197.0,train,175.22,187.3,181.74,180.26
205,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,270.0,218.0,train,184.33,198.94,185.68,184.99
206,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,270.0,212.0,train,178.85,191.94,181.74,180.26
207,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,360.0,220.0,test,185.32,200.21,185.68,184.99
208,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,360.0,215.0,train,180.98,194.65,181.74,180.26
209,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,70,450.0,223.0,train,185.98,201.04,185.68,184.99
210,opening study,1,90.0,150.0,44.0,6.6332,1.111111111111111,10.0,150,450.0,219.0,test,182.37,196.44,181.74,180.26
211,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,0.0,128.0,train,178.64,157.27,171.2,169.71
212,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,0.0,112.0,train,178.64,157.27,171.2,169.71
213,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,0.0,78.0,train,178.64,157.27,163.75,160.78
214,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,0.0,98.0,train,178.64,157.27,163.75,160.78
215,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,0.0,53.0,train,178.64,157.27,156.31,151.84
216,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,0.0,141.0,train,178.64,157.27,156.31,151.84
217,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,150.0,147.0,train,160.78,141.98,171.2,169.71
218,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,150.0,119.0,train,160.78,141.98,171.2,169.71
219,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,300,150.0,143.0,test,151.84,134.33,167.47,165.24
220,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,300,150.0,166.0,train,151.84,134.33,167.47,165.24
221,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,150.0,159.0,test,142.91,126.68,163.75,160.78
222,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,150.0,142.0,test,142.91,126.68,163.75,160.78
223,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,500,150.0,99.0,train,133.98,119.04,160.03,156.31
224,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,500,150.0,107.0,test,133.98,119.04,160.03,156.31
225,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,150.0,100.0,train,125.05,111.39,156.31,151.84
226,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,150.0,158.0,test,125.05,111.39,156.31,151.84
227,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,300.0,192.0,train,167.47,145.8,171.2,169.71
228,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,200,300.0,176.0,train,167.47,145.8,171.2,169.71
229,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,300.0,152.0,test,156.31,134.33,163.75,160.78
230,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,400,300.0,199.0,train,156.31,134.33,163.75,160.78
231,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,300.0,141.0,train,145.14,122.86,156.31,151.84
232,opening study,1,100.0,200.0,20.35,4.5111,0.471,10.0,600,300.0,185.0,train,145.14,122.86,156.31,151.84
233,solid-slab database [30],0,76.2,80.11,23.42,4.8394,2.0,1.8307,0,1000.0,129.0,train,76.09,126.37,,
234,solid-slab database [30],0,118.0,254.0,23.97,4.8959,1.17,6.4576,0,1000.0,365.0,test,283.68,322.51,,
235,solid-slab database [30],0,275.0,200.0,111.72,10.5698,1.49,4.1818,0,1000.0,2450.0,train,1822.49,2147.09,,
236,solid-slab database [30],0,124.0,203.0,37.34,6.1106,1.0,4.7056,0,1000.0,411.0,train,327.06,353.65,,
237,solid-slab database [30],0,107.0,100.0,24.32,4.9315,1.06,13.5514,0,1000.0,216.0,train,144.18,198.52,,
238,solid-slab database [30],0,60.0,78.54,24.6,4.9598,1.06,3.825,0,1000.0,98.0,train,54.42,68.42,,
239,solid-slab database [30],0,88.0,200.0,19.8,4.4497,1.2,9.0909,0,1000.0,199.0,train,148.86,173.58,,
240,solid-slab database [30],0,88.0,100.0,84.89,9.2136,1.84,5.6818,0,1000.0,330.0,train,201.21,256.91,,
241,solid-slab database [30],0,122.0,254.0,28.62,5.3498,1.56,7.2869,0,1000.0,440.0,train,323.93,397.17,,
242,solid-slab database [30],0,114.0,254.0,48.01,6.9289,3.02,6.6842,0,1000.0,578.0,test,383.7,527.92,,
243,solid-slab database [30],0,82.0,173.57,8.66,2.9428,1.26,8.4085,0,1000.0,152.0,train,81.41,112.93,,
244,solid-slab database [30],0,107.0,250.0,31.41,5.6045,1.06,12.8505,0,1000.0,283.0,train,282.59,290.54,,
245,solid-slab database [30],0,77.0,200.0,25.73,5.0725,1.63,10.5844,0,1000.0,194.0,test,142.81,170.24,,
246,solid-slab database [30],0,121.0,203.0,19.57,4.4238,1.0,4.8223,0,1000.0,322.0,train,228.93,273.81,,
247,solid-slab database [30],0,456.0,520.0,32.4,5.6921,0.33,5.0877,0,1000.0,2153.0,train,3343.96,2347.6,,
248,solid-slab database [30],0,121.67,159.44,49.47,7.0335,0.66,1.9849,0,1000.0,306.0,train,317.54,303.33,,
249,solid-slab database [30],0,102.0,203.0,18.34,4.2825,1.7,5.7206,0,1000.0,330.0,train,175.86,241.98,,
250,solid-slab database [30],0,123.0,225.0,54.24,7.3648,1.94,7.7683,0,1000.0,447.0,train,416.12,511.26,,
251,solid-slab database [30],0,121.0,228.5,28.02,5.2934,0.75,6.9298,0,1000.0,315.0,train,295.49,292.65,,
252,solid-slab database [30],0,46.0,102.0,25.77,5.0764,3.24,5.3152,0,1000.0,83.0,train,45.62,71.37,,
253,solid-slab database [30],0,165.1,152.0,42.71,6.5353,0.75,4.9303,0,1000.0,600.0,train,451.63,506.39,,
254,solid-slab database [30],0,80.0,188.5,41.9,6.473,1.8,5.1,0,1000.0,281.0,train,183.53,214.07,,
255,solid-slab database [30],0,113.0,164.93,21.95,4.6851,0.83,6.5044,0,1000.0,280.0,test,194.22,222.62,,
256,solid-slab database [30],0,111.0,254.0,17.77,4.2154,1.52,7.0946,0,1000.0,334.0,train,225.44,289.05,,
257,solid-slab database [30],0,99.0,160.0,25.84,5.0833,1.43,7.2727,0,1000.0,260.0,train,172.05,223.65,,
258,solid-slab database [30],0,118.0,254.0,19.25,4.3875,1.17,6.4576,0,1000.0,356.0,test,254.22,299.77,,
259,solid-slab database [30],0,275.0,200.0,64.14,8.0087,1.49,4.1818,0,1000.0,2050.0,test,1380.91,1784.5,,
260,solid-slab database [30],0,111.0,109.96,11.54,3.3971,0.64,4.5495,0,1000.0,177.0,train,109.98,142.78,,
261,solid-slab database [30],0,63.2,102.0,19.57,4.4238,0.89,6.0285,0,1000.0,78.0,test,60.97,70.9,,
262,solid-slab database [30],0,201.0,188.5,20.4,4.5166,0.77,2.8856,0,1000.0,648.0,train,466.76,593.63,,
263,solid-slab database [30],0,108.0,300.0,51.52,7.1777,0.51,9.1667,0,1000.0,251.0,train,417.49,295.57,,
264,solid-slab database [30],0,60.0,78.54,25.57,5.0567,1.06,3.825,0,1000.0,104.0,train,55.48,69.3,,
265,solid-slab database [30],0,98.0,117.81,57.0,7.5498,1.27,6.2347,0,1000.0,341.0,test,210.77,250.36,,
266,solid-slab database [30],0,200.0,196.35,22.73,4.7676,0.8,5.32,0,1000.0,603.0,train,498.86,624.55,,
267,solid-slab database [30],0,200.0,150.0,89.28,9.4488,2.62,5.125,0,1000.0,1450.0,train,873.07,1381.13,,
268,solid-slab database [30],0,82.0,301.5,12.0,3.4641,1.26,8.5305,0,1000.0,244.0,train,143.79,163.25,,
269,solid-slab database [30],0,127.0,40.06,24.89,4.989,0.75,5.7992,0,1000.0,166.0,train,139.72,212.99,,
270,solid-slab database [30],0,114.3,203.0,21.88,4.6776,1.05,6.8985,0,1000.0,378.0,test,223.93,263.0,,
271,solid-slab database [30],0,106.0,109.96,11.54,3.3971,0.67,4.7642,0,1000.0,187.0,train,102.65,133.7,,
272,solid-slab database [30],0,143.0,235.62,32.4,5.6921,1.48,8.042,0,1000.0,628.0,train,406.8,512.36,,
273,solid-slab database [30],0,79.0,200.0,20.55,4.5332,0.75,10.3165,0,1000.0,165.0,train,131.89,126.88,,
274,solid-slab database [30],0,75.0,200.0,35.85,5.9875,1.5,1.3333,0,1000.0,368.0,train,163.01,177.58,,
275,solid-slab database [30],0,127.0,279.6,24.89,4.989,0.75,4.5984,0,1000.0,243.0,train,340.06,329.2,,
276,solid-slab database [30],0,114.3,304.5,26.2,5.1186,1.14,5.7874,0,1000.0,394.0,train,323.43,338.88,,
277,solid-slab database [30],0,117.0,203.0,19.95,4.4665,1.2,4.9872,0,1000.0,339.0,test,220.74,277.05,,
278,solid-slab database [30],0,95.0,220.0,68.4,8.2704,1.49,6.7368,0,1000.0,498.0,train,326.69,331.29,,
279,solid-slab database [30],0,83.0,157.87,13.28,3.6442,0.93,5.2169,0,1000.0,307.0,train,96.17,115.65,,
280,solid-slab database [30],0,114.3,254.0,19.46,4.4113,3.45,6.6754,0,1000.0,311.0,train,245.13,410.12,,
281,solid-slab database [30],0,108.0,360.0,61.64,7.8511,0.51,9.1667,0,1000.0,426.0,train,523.81,343.23,,
282,solid-slab database [30],0,114.3,152.0,25.21,5.021,1.14,7.1216,0,1000.0,311.0,train,201.73,257.67,,
283,solid-slab database [30],0,63.2,76.0,20.72,4.5519,0.89,6.2342,0,1000.0,83.0,train,52.86,66.01,,
284,solid-slab database [30],0,100.0,200.0,71.25,8.441,1.49,5.0,0,1000.0,371.0,train,334.26,350.58,,
285,solid-slab database [30],0,75.0,200.0,26.4,5.1381,1.5,1.0,0,1000.0,338.0,train,139.88,160.36,,
286,solid-slab database [30],0,200.0,150.0,87.98,9.3798,1.75,5.125,0,1000.0,1100.0,test,866.69,1201.41,,
287,solid-slab database [30],0,106.0,240.0,49.68,7.0484,0.52,9.3396,0,1000.0,358.0,train,341.23,258.56,,
288,solid-slab database [30],0,46.5,100.0,29.4,5.4222,0.44,5.8065,0,1000.0,45.0,train,48.76,38.68,,
289,solid-slab database [30],0,46.5,100.0,28.95,5.3805,1.96,5.8065,0,1000.0,97.0,train,48.38,63.32,,
290,solid-slab database [30],0,107.0,180.0,52.44,7.2415,0.51,9.2523,0,1000.0,331.0,train,293.54,237.83,,
291,solid-slab database [30],0,124.0,203.0,39.33,6.2714,1.7,4.7056,0,1000.0,431.0,train,335.66,429.44,,
292,solid-slab database [30],0,38.1,80.11,13.15,3.6263,2.06,7.664,0,1000.0,34.0,train,21.56,32.92,,
293,solid-slab database [30],0,99.0,98.17,21.45,4.6314,0.8,5.3737,0,1000.0,194.0,train,119.33,150.46,,
