row_in_workbook,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Vu_kN,subset,Vu_ACI318_kN,Vu_EC2_kN,Vu_ElShafiey_kN,Vu_Koroglu_kN
645,solid-slab database [30],0,75.0,99.75,31.9,5.648,1.55,6.0,0,1000.0,210.0,train,97.71,132.94,,
646,solid-slab database [30],0,75.0,99.75,30.9,5.5588,1.86,6.0,0,1000.0,200.0,test,96.17,139.78,,
647,solid-slab database [30],0,75.0,99.75,31.2,5.5857,1.86,6.0,0,1000.0,223.0,train,96.63,140.23,,
648,solid-slab database [30],0,75.0,99.75,31.2,5.5857,1.86,6.0,0,1000.0,220.0,test,96.63,140.23,,
649,solid-slab database [30],0,75.0,99.75,32.3,5.6833,1.18,6.0,0,1000.0,170.0,train,98.32,121.89,,
650,solid-slab database [30],0,75.0,99.75,31.1,5.5767,1.18,6.0,0,1000.0,190.0,train,96.48,120.36,,
651,solid-slab database [30],0,75.0,99.75,28.0,5.2915,0.92,6.0,0,1000.0,169.0,train,91.54,106.97,,
652,solid-slab database [30],0,75.0,99.75,28.8,5.3666,0.92,6.0,0,1000.0,160.0,train,92.84,107.98,,
653,solid-slab database [30],0,75.0,99.75,29.2,5.4037,1.17,9.33,0,1000.0,189.0,train,93.49,117.53,,
654,solid-slab database [30],0,75.0,99.75,29.4,5.4222,1.17,12.67,0,1000.0,192.0,train,93.81,117.79,,
655,solid-slab database [30],0,75.0,99.75,34.1,5.8395,1.17,12.67,0,1000.0,160.0,test,101.03,123.76,,
656,solid-slab database [30],0,75.0,99.75,31.6,5.6214,1.17,3.75,0,1000.0,150.0,train,97.25,120.66,,
657,solid-slab database [30],0,120.0,99.6,29.0,5.3852,1.17,3.75,0,1000.0,301.0,train,187.32,266.61,,
658,solid-slab database [30],0,120.0,99.6,31.1,5.5767,1.17,3.53,0,1000.0,292.0,train,193.98,272.9,,
659,solid-slab database [30],0,170.0,299.2,39.6,6.2929,0.79,3.53,0,1000.0,660.0,train,662.56,642.74,,
660,solid-slab database [30],0,170.0,299.2,41.8,6.4653,0.79,3.53,0,1000.0,660.0,test,680.72,654.43,,
661,solid-slab database [30],0,170.0,299.2,35.4,5.9498,1.19,3.53,0,1000.0,750.0,train,626.44,709.76,,
662,solid-slab database [30],0,170.0,299.2,39.3,6.269,1.19,3.53,0,1000.0,750.0,train,660.05,734.93,,
663,solid-slab database [30],0,170.0,299.2,39.3,6.269,1.09,3.53,0,1000.0,635.0,train,660.05,713.74,,
664,solid-slab database [30],0,170.0,299.2,39.3,6.269,1.09,3.53,0,1000.0,600.0,train,660.05,713.74,,
665,solid-slab database [30],0,120.0,300.0,36.7,6.0581,3.37,5.0,0,1000.0,400.0,train,403.03,582.85,,
666,solid-slab database [30],0,120.0,300.0,41.3,6.4265,3.37,5.0,0,1000.0,660.0,train,427.54,606.25,,
667,solid-slab database [30],0,120.0,300.0,39.2,6.261,2.11,5.0,0,1000.0,540.0,train,416.53,509.7,,
668,solid-slab database [30],0,120.0,300.0,39.7,6.3008,2.11,5.0,0,1000.0,710.0,train,419.18,511.86,,
669,solid-slab database [30],0,120.0,300.0,40.8,6.3875,1.12,5.0,0,1000.0,600.0,train,424.95,418.23,,
670,solid-slab database [30],0,120.0,300.0,44.7,6.6858,1.12,5.0,0,1000.0,600.0,train,444.79,431.16,,
671,solid-slab database [30],0,120.0,99.6,17.9,4.2308,0.99,5.83,0,1000.0,190.0,train,147.17,214.71,,
672,solid-slab database [30],0,120.0,99.6,22.4,4.7329,0.99,5.83,0,1000.0,240.0,train,164.63,231.38,,
673,solid-slab database [30],0,120.0,99.6,42.8,6.5422,0.99,5.83,0,1000.0,312.0,test,227.57,287.11,,
674,solid-slab database [30],0,120.0,99.6,41.8,6.4653,0.99,5.83,0,1000.0,341.0,train,224.89,284.86,,
675,solid-slab database [30],0,79.0,199.87,28.9,5.3759,0.8,10.32,0,1000.0,186.0,train,156.33,145.21,,
676,solid-slab database [30],0,125.0,250.0,26.0,5.099,1.06,3.8,0,1000.0,450.4,train,315.5,349.44,,
677,solid-slab database [30],0,125.0,250.0,26.0,5.099,0.96,3.8,0,1000.0,427.0,test,315.5,338.09,,
678,solid-slab database [30],0,80.0,250.4,43.1,6.5651,1.32,5.94,0,1000.0,302.4,train,229.06,222.3,,
679,solid-slab database [30],0,95.0,249.85,27.5,5.244,1.32,5.0,0,1000.0,307.0,train,226.77,248.36,,
680,solid-slab database [30],0,95.0,249.85,27.5,5.244,1.06,5.0,0,1000.0,306.4,train,226.77,230.84,,
681,solid-slab database [30],0,93.0,199.95,29.5,5.4314,1.24,5.38,0,1000.0,274.0,train,195.33,218.77,,
682,solid-slab database [30],0,93.0,199.95,31.4,5.6036,1.32,5.38,0,1000.0,277.0,train,201.52,228.08,,
683,solid-slab database [30],0,93.0,199.95,21.2,4.6043,1.32,5.38,0,1000.0,249.0,train,165.58,200.09,,
684,solid-slab database [30],0,93.0,199.95,29.5,5.4314,0.91,5.38,0,1000.0,240.0,train,195.33,197.33,,
685,solid-slab database [30],0,93.0,199.95,19.2,4.3818,0.58,5.38,0,1000.0,170.0,train,157.58,147.17,,
686,solid-slab database [30],0,172.0,201.24,31.0,5.5678,0.46,3.98,0,1000.0,503.0,train,471.81,445.41,,
687,solid-slab database [30],0,176.0,202.4,31.0,5.5678,0.45,3.89,0,1000.0,537.0,test,489.46,460.82,,
688,solid-slab database [30],0,175.0,406.0,31.0,5.5678,0.65,3.9,0,1000.0,799.0,train,747.26,655.41,,
689,solid-slab database [30],0,109.0,224.54,34.6,5.8822,0.96,8.14,0,1000.0,301.0,train,282.28,286.07,,
690,solid-slab database [30],0,109.0,224.54,48.5,6.9642,0.96,8.14,0,1000.0,363.0,test,334.21,320.15,,
691,solid-slab database [30],0,109.0,224.54,55.0,7.4162,0.96,8.14,0,1000.0,443.0,train,355.9,333.86,,
692,solid-slab database [30],0,121.0,300.08,35.2,5.933,1.0,10.12,0,1000.0,423.0,train,399.02,388.42,,
693,solid-slab database [30],0,190.0,400.9,21.9,4.6797,0.81,5.26,0,1000.0,615.0,train,693.53,711.98,,
694,solid-slab database [30],0,90.0,250.2,24.6,4.9598,1.06,6.94,0,1000.0,230.0,train,200.46,204.82,,
695,solid-slab database [30],0,90.0,250.2,26.0,5.099,2.0,6.94,0,1000.0,316.8,train,206.08,257.8,,
696,solid-slab database [30],0,130.0,249.6,24.6,4.9598,0.98,4.81,0,1000.0,443.2,train,323.08,355.84,,
697,solid-slab database [30],0,168.0,199.92,30.2,5.4955,0.5,5.36,0,1000.0,586.6,train,448.37,435.13,,
698,solid-slab database [30],0,164.0,200.08,29.8,5.4589,1.3,5.49,0,1000.0,805.3,train,430.25,571.59,,
699,solid-slab database [30],0,168.0,199.92,28.3,5.3198,0.5,5.36,0,1000.0,522.3,train,434.04,425.81,,
700,solid-slab database [30],0,164.0,200.08,26.7,5.1672,1.3,5.49,0,1000.0,796.8,train,407.26,551.04,,
701,solid-slab database [30],0,98.0,249.9,32.2,5.6745,1.57,4.85,0,1000.0,356.0,test,255.38,291.05,,
702,solid-slab database [30],0,128.0,249.6,32.9,5.7359,1.2,3.71,0,1000.0,470.0,train,365.94,409.04,,
703,solid-slab database [30],0,158.0,249.64,34.3,5.8566,0.97,3.01,0,1000.0,646.0,train,497.91,545.91,,
